#numPI[l][m][n]/numK[l][m][n] is filled
0 13 19 0.289855 =1568.51/5411.38    AC1<1, 2.6<AC2<23
0 14 0 0.00725472 =3.11782/429.764    AC1<1, 2.8<AC2<4
0 14 1 0.0127395 =75.9862/5964.64    AC1<1, 2.8<AC2<5
0 14 2 0.093274 =131.641/1411.33    AC1<1, 2.8<AC2<6
0 14 3 0.083434 =166.312/1993.34    AC1<1, 2.8<AC2<7
0 14 4 0.0809722 =211.045/2606.39    AC1<1, 2.8<AC2<8
0 14 5 0.0889898 =275.586/3096.83    AC1<1, 2.8<AC2<9
0 14 6 0.10429 =366.775/3516.87    AC1<1, 2.8<AC2<10
0 14 7 0.108523 =421.674/3885.59    AC1<1, 2.8<AC2<11
0 14 8 0.115461 =479.339/4151.52    AC1<1, 2.8<AC2<12
0 14 9 0.128675 =569.266/4424.06    AC1<1, 2.8<AC2<13
0 14 10 0.144911 =661.136/4562.34    AC1<1, 2.8<AC2<14
0 14 11 0.161682 =762.833/4718.11    AC1<1, 2.8<AC2<15
0 14 12 0.179151 =868.663/4848.79    AC1<1, 2.8<AC2<16
0 14 13 0.198887 =992.913/4992.36    AC1<1, 2.8<AC2<17
0 14 14 0.214124 =1087.9/5080.71    AC1<1, 2.8<AC2<18
0 14 15 0.229479 =1185.23/5164.85    AC1<1, 2.8<AC2<19
0 14 16 0.245006 =1284.27/5241.77    AC1<1, 2.8<AC2<20
0 14 17 0.260911 =1379.28/5286.38    AC1<1, 2.8<AC2<21
0 14 18 0.274488 =1462.02/5326.35    AC1<1, 2.8<AC2<22
0 14 19 0.286496 =1547/5399.71    AC1<1, 2.8<AC2<23
0 15 0 0.00278168 =1.57932/567.759    AC1<1, 3<AC2<4
0 15 1 0.0937598 =422.084/4501.76    AC1<1, 3<AC2<5
0 15 2 0.0817985 =116.404/1423.05    AC1<1, 3<AC2<6
0 15 3 0.0764195 =152.95/2001.46    AC1<1, 3<AC2<7
0 15 4 0.0764344 =199.707/2612.79    AC1<1, 3<AC2<8
0 15 5 0.0856469 =265.462/3099.5    AC1<1, 3<AC2<9
0 15 6 0.101512 =357.069/3517.5    AC1<1, 3<AC2<10
0 15 7 0.106848 =414.838/3882.51    AC1<1, 3<AC2<11
0 15 8 0.114629 =475.541/4148.5    AC1<1, 3<AC2<12
0 15 9 0.131066 =572.4/4367.26    AC1<1, 3<AC2<13
0 15 10 0.144304 =657.778/4558.28    AC1<1, 3<AC2<14
0 15 11 0.161141 =759.602/4713.89    AC1<1, 3<AC2<15
0 15 12 0.178642 =865.337/4843.97    AC1<1, 3<AC2<16
0 15 13 0.198422 =989.469/4986.69    AC1<1, 3<AC2<17
0 15 14 0.213713 =1084.57/5074.9    AC1<1, 3<AC2<18
0 15 15 0.229333 =1181.81/5153.22    AC1<1, 3<AC2<19
0 15 16 0.245752 =1281.09/5212.91    AC1<1, 3<AC2<20
0 15 17 0.259975 =1375.8/5292.05    AC1<1, 3<AC2<21
0 15 18 0.273585 =1458.5/5331.09    AC1<1, 3<AC2<22
0 15 19 0.285821 =1543.37/5399.76    AC1<1, 3<AC2<23
0 16 0 0.00643259 =2.96113/460.333    AC1<1, 3.2<AC2<4
0 16 1 0.0945743 =365.141/3860.9    AC1<1, 3.2<AC2<5
0 16 2 0.0753687 =103.383/1371.7    AC1<1, 3.2<AC2<6
0 16 3 0.0721424 =140.586/1948.72    AC1<1, 3.2<AC2<7
0 16 4 0.0734298 =187.952/2559.62    AC1<1, 3.2<AC2<8
0 16 5 0.0835671 =254.406/3044.33    AC1<1, 3.2<AC2<9
0 16 6 0.100151 =346.486/3459.64    AC1<1, 3.2<AC2<10
0 16 7 0.109356 =402.69/3682.37    AC1<1, 3.2<AC2<11
0 16 8 0.114197 =466.809/4087.74    AC1<1, 3.2<AC2<12
0 16 9 0.130959 =563.691/4304.32    AC1<1, 3.2<AC2<13
0 16 10 0.144505 =649.4/4493.98    AC1<1, 3.2<AC2<14
0 16 11 0.161649 =751.367/4648.13    AC1<1, 3.2<AC2<15
0 16 12 0.179381 =856.826/4776.57    AC1<1, 3.2<AC2<16
0 16 13 0.199428 =980.784/4917.99    AC1<1, 3.2<AC2<17
0 16 14 0.214979 =1076.01/5005.19    AC1<1, 3.2<AC2<18
0 16 15 0.231586 =1173.22/5066.03    AC1<1, 3.2<AC2<19
0 16 16 0.247219 =1272.39/5146.82    AC1<1, 3.2<AC2<20
0 16 17 0.261329 =1366.94/5230.73    AC1<1, 3.2<AC2<21
0 16 18 0.275307 =1449.72/5265.85    AC1<1, 3.2<AC2<22
0 16 19 0.287833 =1534.53/5331.32    AC1<1, 3.2<AC2<23
0 17 0 0.00212933 =0.691604/324.799    AC1<1, 3.4<AC2<4
0 17 1 0.0804506 =268.35/3335.58    AC1<1, 3.4<AC2<5
0 17 2 0.0730044 =94.9677/1300.85    AC1<1, 3.4<AC2<6
0 17 3 0.0707645 =132.832/1877.1    AC1<1, 3.4<AC2<7
0 17 4 0.0728295 =180.911/2484.03    AC1<1, 3.4<AC2<8
0 17 5 0.0835018 =247.674/2966.1    AC1<1, 3.4<AC2<9
0 17 6 0.0998065 =337.374/3380.28    AC1<1, 3.4<AC2<10
0 17 7 0.105094 =393.198/3741.4    AC1<1, 3.4<AC2<11
0 17 8 0.113232 =453.58/4005.75    AC1<1, 3.4<AC2<12
0 17 9 0.126519 =550.255/4349.2    AC1<1, 3.4<AC2<13
0 17 10 0.144088 =635.3/4409.11    AC1<1, 3.4<AC2<14
0 17 11 0.161546 =737.007/4562.21    AC1<1, 3.4<AC2<15
0 17 12 0.179471 =841.872/4690.86    AC1<1, 3.4<AC2<16
0 17 13 0.199867 =965.763/4832.03    AC1<1, 3.4<AC2<17
0 17 14 0.215843 =1060.67/4914.06    AC1<1, 3.4<AC2<18
0 17 15 0.233065 =1158.4/4970.28    AC1<1, 3.4<AC2<19
0 17 16 0.248206 =1257.03/5064.46    AC1<1, 3.4<AC2<20
0 17 17 0.262658 =1351.54/5145.64    AC1<1, 3.4<AC2<21
0 17 18 0.276974 =1434.38/5178.75    AC1<1, 3.4<AC2<22
0 17 19 0.28972 =1519.03/5243.09    AC1<1, 3.4<AC2<23
0 18 0 0.00504951 =1.30429/258.301    AC1<1, 3.6<AC2<4
0 18 1 0.09269 =67.81/731.578    AC1<1, 3.6<AC2<5
0 18 2 0.073335 =306.357/4177.51    AC1<1, 3.6<AC2<6
0 18 3 0.075259 =137.301/1824.38    AC1<1, 3.6<AC2<7
0 18 4 0.0704232 =180.454/2562.43    AC1<1, 3.6<AC2<8
