0.0542023 0.134615 0.11349 0.22589 0.203163 z_sum<30, z_diff<4
0.0629846 0.152875 0.13607 0.261108 0.214372 z_sum<35, z_diff<4
0.0719467 0.181624 0.154252 0.328775 0.231407 z_sum<40, z_diff<4
0.080699 0.203186 0.174047 0.366873 0.254267 z_sum<45, z_diff<4
0.0894113 0.222999 0.193402 0.405229 0.294679 z_sum<50, z_diff<4
0.0979438 0.24359 0.21349 0.449233 0.323807 z_sum<55, z_diff<4
0.106726 0.266123 0.233284 0.493347 0.341211 z_sum<60, z_diff<4
0.115538 0.287879 0.252151 0.534435 0.39379 z_sum<65, z_diff<4
0.124191 0.313908 0.269844 0.569763 0.452047 z_sum<70, z_diff<4
0.133253 0.333139 0.287879 0.601954 0.48066 z_sum<75, z_diff<4
0.141535 0.343434 0.304985 0.622406 0.504036 z_sum<80, z_diff<4
0.149658 0.364219 0.320088 0.663567 0.533091 z_sum<85, z_diff<4
0.156732 0.380925 0.33915 0.701849 0.550052 z_sum<90, z_diff<4
0.164695 0.396465 0.356305 0.736994 0.555067 z_sum<95, z_diff<4
0.172578 0.413947 0.370674 0.766194 0.590095 z_sum<100, z_diff<4
0.179542 0.431818 0.383773 0.789526 0.618486 z_sum<105, z_diff<4
0.188474 0.442502 0.398729 0.809609 0.628294 z_sum<110, z_diff<4
0.206858 0.467366 0.422825 0.828954 0.671286 z_sum<115, z_diff<4
0.298188 0.5338 0.494721 0.863618 0.735738 z_sum<120, z_diff<4
0.609644 0.73582 0.740665 0.933533 0.8556 z_sum<125, z_diff<4
0.89719 0.925991 0.936315 0.975948 0.977635 z_sum<130, z_diff<4
0.97696 0.983877 0.990811 0.992194 0.992979 z_sum<135, z_diff<4
0.991038 0.99728 0.99824 0.994557 1.00214 z_sum<140, z_diff<4
0.995064 0.997475 0.998925 0.997401 1.00081 z_sum<145, z_diff<4
0.996563 0.997086 0.999658 0.997179 1.0003 z_sum<150, z_diff<4
0.997352 0.997086 0.999658 0.997179 1.00022 z_sum<155, z_diff<4
0.997832 0.997086 0.999609 0.997179 1.00022 z_sum<160, z_diff<4
0.998072 0.997086 0.99956 0.997179 1.00022 z_sum<165, z_diff<4
0.998341 0.997086 0.999511 0.997069 1.00022 z_sum<170, z_diff<4
0.998531 0.997086 0.999511 0.997069 1.00015 z_sum<175, z_diff<4
0.998611 0.997086 0.999462 0.997069 1.00015 z_sum<180, z_diff<4
0.998851 0.997863 0.999658 0.99707 1.00015 z_sum<185, z_diff<4
0.998931 0.997863 0.999804 0.997033 1.00015 z_sum<190, z_diff<4
0.999011 0.997863 0.999804 0.997033 1.00015 z_sum<195, z_diff<4
0.999051 0.99864 0.999804 0.997032 1.00015 z_sum<200, z_diff<4
0.999211 0.99864 0.999804 0.997032 1.00015 z_sum<205, z_diff<4
0.999291 0.999417 1 0.999986 1.00015 z_sum<210, z_diff<4
0.999411 0.999417 1 0.999986 1.00007 z_sum<215, z_diff<4
